track_id,raw_track_id,class_name,class_votes,start_time,end_time,duration_sec,frame_count,detection_count,mean_confidence,max_displacement_px,track_status,exclude_reason,manual_filter_status,manual_filter_note
mot_0001,1,car,"{""car"": 80}",0.00,1.64,1.64,80,80,0.7244,100.90,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0002,2,car,"{""car"": 331}",0.00,6.60,6.60,331,331,0.8769,752.78,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0003,3,car,"{""car"": 455}",0.00,9.08,9.08,455,455,0.7770,789.81,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0004,4,car,"{""car"": 243}",0.00,4.86,4.86,243,243,0.8990,609.70,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0006,6,car,"{""car"": 280}",0.00,5.58,5.58,280,280,0.7706,389.51,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0007,7,car,"{""car"": 384}",0.00,7.70,7.70,384,384,0.7729,539.11,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0008,8,car,"{""car"": 193}",0.00,4.28,4.28,193,193,0.7622,316.12,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0009,9,bus,"{""bus"": 166, ""car"": 21, ""truck"": 143}",0.00,6.80,6.80,330,330,0.5660,528.79,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0010,10,car,"{""car"": 1999}",0.00,39.98,39.98,1999,1999,0.8396,4.12,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0011,11,car,"{""bus"": 1, ""car"": 1225, ""truck"": 588}",0.00,36.44,36.44,1814,1814,0.5373,932.00,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0028,28,bus,"{""bus"": 37, ""truck"": 31}",0.60,1.94,1.34,68,68,0.5360,93.59,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0104,104,car,"{""car"": 1860}",2.80,39.98,37.18,1860,1860,0.9181,275.31,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0134,134,car,"{""car"": 315, ""truck"": 279}",4.30,16.16,11.86,594,594,0.4027,1.23,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0137,137,car,"{""car"": 1781}",4.38,39.98,35.60,1781,1781,0.9126,412.05,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0166,166,car,"{""car"": 31}",5.64,6.24,0.60,31,31,0.5975,32.05,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0189,189,car,"{""car"": 446}",8.10,17.02,8.92,446,446,0.8963,1053.19,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0195,195,car,"{""car"": 1453}",10.94,39.98,29.04,1453,1453,0.8805,349.18,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0209,209,car,"{""car"": 1364}",12.68,39.98,27.30,1364,1364,0.9142,139.74,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0226,226,car,"{""car"": 36}",14.02,15.06,1.04,36,36,0.3309,0.66,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0231,231,car,"{""car"": 1262}",14.76,39.98,25.22,1262,1262,0.8841,258.79,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0235,235,car,"{""car"": 1248}",14.96,39.98,25.02,1248,1248,0.9288,119.51,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0278,278,car,"{""car"": 63, ""truck"": 33}",17.06,18.98,1.92,96,96,0.3648,22.83,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0379,379,car,"{""car"": 19, ""truck"": 12}",21.22,21.82,0.60,31,31,0.4260,13.64,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0384,384,car,"{""car"": 21, ""truck"": 8}",22.30,22.88,0.58,29,29,0.3929,12.73,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0389,389,truck,"{""car"": 9, ""truck"": 21}",23.02,23.60,0.58,30,30,0.3652,12.63,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0391,391,truck,"{""car"": 56, ""truck"": 76}",23.70,26.32,2.62,132,132,0.4295,48.09,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0392,392,car,"{""car"": 352}",23.84,30.96,7.12,352,352,0.7869,520.49,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0394,394,car,"{""car"": 433}",24.58,33.24,8.66,433,433,0.7350,1393.57,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0402,402,car,"{""car"": 40}",25.18,25.96,0.78,40,40,0.5566,31.25,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0420,420,car,"{""car"": 19, ""truck"": 11}",27.32,28.04,0.72,30,30,0.3988,29.03,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0421,421,car,"{""car"": 5}",27.32,27.82,0.50,5,5,0.3360,1.37,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0424,424,car,"{""car"": 575, ""truck"": 4}",27.80,39.98,12.18,579,579,0.5966,184.91,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0488,488,car,"{""car"": 81}",30.30,32.10,1.80,81,81,0.3702,4.46,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0500,500,car,"{""car"": 47}",30.44,31.92,1.48,47,47,0.3371,1.74,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0527,527,car,"{""car"": 6}",30.82,31.48,0.66,6,6,0.3201,71.90,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0566,566,car,"{""car"": 397}",31.66,39.58,7.92,397,397,0.8264,525.94,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0570,570,car,"{""car"": 62}",31.76,33.00,1.24,62,62,0.7655,137.36,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0580,580,car,"{""car"": 405}",31.90,39.98,8.08,405,405,0.6019,2.16,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0588,588,car,"{""car"": 48}",32.36,33.40,1.04,48,48,0.5850,56.41,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0621,621,car,"{""car"": 288}",34.20,39.98,5.78,288,288,0.6349,162.99,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0622,622,car,"{""car"": 177}",34.22,39.40,5.18,177,177,0.4806,285.51,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
mot_0670,670,car,"{""car"": 77}",36.88,38.42,1.54,77,77,0.8287,153.48,target_review_candidate,,KEPT_AFTER_MANUAL_FILTER_V1,Kept after manual_filter_v1; not listed in manual exclusion ids.
