track_id,raw_track_id,class_name,class_votes,start_time,end_time,duration_sec,frame_count,detection_count,mean_confidence,max_displacement_px,track_status,exclude_reason
mot_0001,1,car,"{""car"": 80}",0.00,1.64,1.64,80,80,0.7244,100.90,target_review_candidate,
mot_0002,2,car,"{""car"": 331}",0.00,6.60,6.60,331,331,0.8769,752.78,target_review_candidate,
mot_0003,3,car,"{""car"": 455}",0.00,9.08,9.08,455,455,0.7770,789.81,target_review_candidate,
mot_0004,4,car,"{""car"": 243}",0.00,4.86,4.86,243,243,0.8990,609.70,target_review_candidate,
mot_0005,5,car,"{""car"": 11}",0.00,0.20,0.20,11,11,0.7083,22.66,excluded,too_short_for_target_review
mot_0006,6,car,"{""car"": 280}",0.00,5.58,5.58,280,280,0.7706,389.51,target_review_candidate,
mot_0007,7,car,"{""car"": 384}",0.00,7.70,7.70,384,384,0.7729,539.11,target_review_candidate,
mot_0008,8,car,"{""car"": 193}",0.00,4.28,4.28,193,193,0.7622,316.12,target_review_candidate,
mot_0009,9,bus,"{""bus"": 166, ""car"": 21, ""truck"": 143}",0.00,6.80,6.80,330,330,0.5660,528.79,target_review_candidate,
mot_0010,10,car,"{""car"": 1999}",0.00,39.98,39.98,1999,1999,0.8396,4.12,target_review_candidate,
mot_0011,11,car,"{""bus"": 1, ""car"": 1225, ""truck"": 588}",0.00,36.44,36.44,1814,1814,0.5373,932.00,target_review_candidate,
mot_0012,12,car,"{""car"": 1528}",0.00,30.54,30.54,1528,1528,0.5836,2.22,target_review_candidate,
mot_0013,13,car,"{""car"": 870}",0.00,18.64,18.64,870,870,0.3400,3.16,target_review_candidate,
mot_0017,17,truck,"{""bus"": 1, ""truck"": 8}",0.20,0.36,0.16,9,9,0.5838,8.80,excluded,too_short_for_target_review
mot_0027,27,bus,"{""bus"": 1, ""truck"": 1}",0.52,0.54,0.02,2,2,0.5141,1.01,excluded,too_short_for_target_review
mot_0028,28,bus,"{""bus"": 37, ""truck"": 31}",0.60,1.94,1.34,68,68,0.5360,93.59,target_review_candidate,
mot_0031,31,car,"{""car"": 3}",0.64,0.68,0.04,3,3,0.5903,3.61,excluded,too_short_for_target_review
mot_0047,47,car,"{""car"": 2}",1.40,1.42,0.02,2,2,0.4177,1.43,excluded,too_short_for_target_review
mot_0048,48,car,"{""car"": 1}",1.50,1.50,0.00,1,1,0.4606,0.00,excluded,single_sample_track
mot_0064,64,truck,"{""car"": 2, ""truck"": 12}",1.76,2.02,0.26,14,14,0.3271,0.25,excluded,too_short_for_target_review
mot_0080,80,car,"{""car"": 116}",2.02,5.52,3.50,116,116,0.3260,0.83,target_review_candidate,
mot_0082,82,bus,"{""bus"": 3, ""truck"": 2}",2.04,2.12,0.08,5,5,0.5571,7.26,excluded,too_short_for_target_review
mot_0083,83,car,"{""car"": 181}",2.08,6.64,4.56,181,181,0.4421,171.06,target_review_candidate,
mot_0085,85,bus,"{""bus"": 7, ""truck"": 5}",2.20,2.44,0.24,12,12,0.5568,20.03,excluded,too_short_for_target_review
mot_0091,91,car,"{""car"": 2}",2.34,2.36,0.02,2,2,0.5729,1.97,excluded,too_short_for_target_review
mot_0094,94,car,"{""car"": 13}",2.48,2.72,0.24,13,13,0.2968,0.57,excluded,too_short_for_target_review
mot_0097,97,car,"{""car"": 3, ""truck"": 1}",2.60,2.66,0.06,4,4,0.4948,0.06,excluded,too_short_for_target_review
mot_0101,101,truck,"{""bus"": 2, ""truck"": 5}",2.70,2.82,0.12,7,7,0.4758,12.35,excluded,too_short_for_target_review
mot_0104,104,car,"{""car"": 1860}",2.80,39.98,37.18,1860,1860,0.9181,275.31,target_review_candidate,
mot_0109,109,car,"{""car"": 5}",2.94,3.06,0.12,5,5,0.3274,5.23,excluded,too_short_for_target_review
mot_0124,124,bus,"{""bus"": 2}",3.84,3.86,0.02,2,2,0.3051,1.90,excluded,too_short_for_target_review
mot_0134,134,car,"{""car"": 315, ""truck"": 279}",4.30,16.16,11.86,594,594,0.4027,1.23,target_review_candidate,
mot_0137,137,car,"{""car"": 1781}",4.38,39.98,35.60,1781,1781,0.9126,412.05,target_review_candidate,
mot_0139,139,bus,"{""bus"": 2, ""truck"": 1}",4.52,4.56,0.04,3,3,0.4233,2.55,excluded,too_short_for_target_review
mot_0145,145,car,"{""car"": 2}",4.68,4.70,0.02,2,2,0.3312,0.68,excluded,too_short_for_target_review
mot_0147,147,bus,"{""bus"": 2, ""truck"": 1}",4.74,4.78,0.04,3,3,0.3810,3.16,excluded,too_short_for_target_review
mot_0152,152,bus,"{""bus"": 14, ""truck"": 8}",4.88,5.30,0.42,22,22,0.5008,39.35,excluded,too_short_for_target_review
mot_0157,157,car,"{""car"": 2}",4.94,4.96,0.02,2,2,0.2863,0.55,excluded,too_short_for_target_review
mot_0163,163,truck,"{""truck"": 1}",5.56,5.56,0.00,1,1,0.3300,0.00,excluded,single_sample_track
mot_0165,165,truck,"{""bus"": 1, ""truck"": 5}",5.62,5.72,0.10,6,6,0.3994,9.02,excluded,too_short_for_target_review
mot_0166,166,car,"{""car"": 31}",5.64,6.24,0.60,31,31,0.5975,32.05,target_review_candidate,
mot_0171,171,car,"{""car"": 7}",5.90,6.36,0.46,7,7,0.3748,17.01,excluded,too_short_for_target_review
mot_0176,176,car,"{""car"": 1}",6.16,6.16,0.00,1,1,0.3145,0.00,excluded,single_sample_track
mot_0177,177,car,"{""bus"": 3, ""car"": 10, ""truck"": 1}",6.24,6.50,0.26,14,14,0.4109,11.34,excluded,too_short_for_target_review
mot_0181,181,car,"{""car"": 4}",6.42,6.48,0.06,4,4,0.3232,6.30,excluded,too_short_for_target_review
mot_0188,188,car,"{""car"": 9}",7.80,7.96,0.16,9,9,0.3794,4.69,excluded,too_short_for_target_review
mot_0189,189,car,"{""car"": 446}",8.10,17.02,8.92,446,446,0.8963,1053.19,target_review_candidate,
mot_0193,193,car,"{""car"": 9}",10.00,10.16,0.16,9,9,0.4695,9.10,excluded,too_short_for_target_review
mot_0195,195,car,"{""car"": 1453}",10.94,39.98,29.04,1453,1453,0.8805,349.18,target_review_candidate,
mot_0203,203,car,"{""car"": 22}",12.36,12.78,0.42,22,22,0.2894,0.15,excluded,too_short_for_target_review
mot_0204,204,car,"{""car"": 15}",12.38,12.76,0.38,15,15,0.3166,29.03,excluded,too_short_for_target_review
mot_0209,209,car,"{""car"": 1364}",12.68,39.98,27.30,1364,1364,0.9142,139.74,target_review_candidate,
mot_0213,213,car,"{""car"": 1}",13.00,13.00,0.00,1,1,0.3189,0.00,excluded,single_sample_track
mot_0214,214,car,"{""car"": 2}",13.14,13.16,0.02,2,2,0.7012,0.50,excluded,too_short_for_target_review
mot_0219,219,car,"{""car"": 1}",13.64,13.64,0.00,1,1,0.3515,0.00,excluded,single_sample_track
mot_0221,221,car,"{""car"": 4}",13.72,13.78,0.06,4,4,0.3543,3.04,excluded,too_short_for_target_review
mot_0226,226,car,"{""car"": 36}",14.02,15.06,1.04,36,36,0.3309,0.66,target_review_candidate,
mot_0228,228,car,"{""car"": 10}",14.54,14.72,0.18,10,10,0.4615,11.09,excluded,too_short_for_target_review
mot_0231,231,car,"{""car"": 1262}",14.76,39.98,25.22,1262,1262,0.8841,258.79,target_review_candidate,
mot_0235,235,car,"{""car"": 1248}",14.96,39.98,25.02,1248,1248,0.9288,119.51,target_review_candidate,
mot_0249,249,car,"{""car"": 1}",16.04,16.04,0.00,1,1,0.4589,0.00,excluded,single_sample_track
mot_0252,252,car,"{""car"": 1}",16.16,16.16,0.00,1,1,0.4005,0.00,excluded,single_sample_track
mot_0255,255,car,"{""car"": 1}",16.28,16.28,0.00,1,1,0.3875,0.00,excluded,single_sample_track
mot_0266,266,car,"{""car"": 1}",16.60,16.60,0.00,1,1,0.3137,0.00,excluded,single_sample_track
mot_0276,276,car,"{""car"": 2}",17.04,17.14,0.10,2,2,0.3309,3.03,excluded,too_short_for_target_review
mot_0278,278,car,"{""car"": 63, ""truck"": 33}",17.06,18.98,1.92,96,96,0.3648,22.83,target_review_candidate,
mot_0283,283,car,"{""car"": 46}",17.34,19.20,1.86,46,46,0.3525,150.81,target_review_candidate,
mot_0312,312,car,"{""car"": 8}",19.10,19.24,0.14,8,8,0.4002,4.56,excluded,too_short_for_target_review
mot_0323,323,car,"{""car"": 11, ""truck"": 4}",19.30,19.58,0.28,15,15,0.3546,4.70,excluded,too_short_for_target_review
mot_0334,334,car,"{""car"": 14, ""truck"": 7}",20.06,20.46,0.40,21,21,0.3982,8.82,excluded,too_short_for_target_review
mot_0368,368,truck,"{""car"": 2, ""truck"": 8}",20.52,20.70,0.18,10,10,0.4528,3.61,excluded,too_short_for_target_review
mot_0375,375,car,"{""car"": 8, ""truck"": 1}",20.80,20.96,0.16,9,9,0.3701,3.44,excluded,too_short_for_target_review
mot_0377,377,car,"{""car"": 1}",20.98,20.98,0.00,1,1,0.3950,0.00,excluded,single_sample_track
mot_0379,379,car,"{""car"": 19, ""truck"": 12}",21.22,21.82,0.60,31,31,0.4260,13.64,target_review_candidate,
mot_0380,380,car,"{""car"": 13}",21.38,21.62,0.24,13,13,0.5019,7.88,excluded,too_short_for_target_review
mot_0382,382,truck,"{""car"": 6, ""truck"": 11}",21.90,22.22,0.32,17,17,0.4163,6.90,excluded,too_short_for_target_review
mot_0384,384,car,"{""car"": 21, ""truck"": 8}",22.30,22.88,0.58,29,29,0.3929,12.73,target_review_candidate,
mot_0389,389,truck,"{""car"": 9, ""truck"": 21}",23.02,23.60,0.58,30,30,0.3652,12.63,target_review_candidate,
mot_0391,391,truck,"{""car"": 56, ""truck"": 76}",23.70,26.32,2.62,132,132,0.4295,48.09,target_review_candidate,
mot_0392,392,car,"{""car"": 352}",23.84,30.96,7.12,352,352,0.7869,520.49,target_review_candidate,
mot_0394,394,car,"{""car"": 433}",24.58,33.24,8.66,433,433,0.7350,1393.57,target_review_candidate,
mot_0401,401,car,"{""car"": 7}",25.16,25.32,0.16,7,7,0.3607,4.62,excluded,too_short_for_target_review
mot_0402,402,car,"{""car"": 40}",25.18,25.96,0.78,40,40,0.5566,31.25,target_review_candidate,
mot_0420,420,car,"{""car"": 19, ""truck"": 11}",27.32,28.04,0.72,30,30,0.3988,29.03,target_review_candidate,
mot_0421,421,car,"{""car"": 5}",27.32,27.82,0.50,5,5,0.3360,1.37,target_review_candidate,
mot_0422,422,truck,"{""truck"": 5}",27.62,27.70,0.08,5,5,0.3600,2.35,excluded,too_short_for_target_review
mot_0423,423,car,"{""car"": 34}",27.66,28.36,0.70,34,34,0.3628,17.24,target_review_candidate,
mot_0424,424,car,"{""car"": 575, ""truck"": 4}",27.80,39.98,12.18,579,579,0.5966,184.91,target_review_candidate,
mot_0435,435,car,"{""car"": 1, ""truck"": 1}",28.88,28.90,0.02,2,2,0.3513,0.89,excluded,too_short_for_target_review
mot_0439,439,truck,"{""car"": 1, ""truck"": 6}",29.06,29.18,0.12,7,7,0.3492,6.14,excluded,too_short_for_target_review
mot_0450,450,car,"{""car"": 9, ""truck"": 4}",29.26,29.50,0.24,13,13,0.4715,14.04,excluded,too_short_for_target_review
mot_0453,453,car,"{""car"": 6}",29.30,29.44,0.14,6,6,0.2906,0.43,excluded,too_short_for_target_review
mot_0459,459,truck,"{""car"": 1, ""truck"": 3}",29.76,29.82,0.06,4,4,0.4121,4.03,excluded,too_short_for_target_review
mot_0471,471,car,"{""car"": 1}",29.98,29.98,0.00,1,1,0.3877,0.00,excluded,single_sample_track
mot_0473,473,truck,"{""truck"": 1}",30.06,30.06,0.00,1,1,0.3795,0.00,excluded,single_sample_track
mot_0479,479,truck,"{""truck"": 2}",30.18,30.20,0.02,2,2,0.3278,1.50,excluded,too_short_for_target_review
mot_0480,480,car,"{""car"": 89}",30.20,32.04,1.84,89,89,0.4488,220.91,target_review_candidate,
mot_0488,488,car,"{""car"": 81}",30.30,32.10,1.80,81,81,0.3702,4.46,target_review_candidate,
mot_0493,493,car,"{""car"": 6, ""truck"": 5}",30.34,30.54,0.20,11,11,0.4252,16.16,excluded,too_short_for_target_review
mot_0494,494,car,"{""car"": 1}",30.34,30.34,0.00,1,1,0.4663,0.00,excluded,single_sample_track
mot_0500,500,car,"{""car"": 47}",30.44,31.92,1.48,47,47,0.3371,1.74,target_review_candidate,
mot_0505,505,car,"{""car"": 43}",30.54,32.00,1.46,43,43,0.3462,160.89,target_review_candidate,
mot_0520,520,truck,"{""truck"": 1}",30.72,30.72,0.00,1,1,0.3191,0.00,excluded,single_sample_track
mot_0527,527,car,"{""car"": 6}",30.82,31.48,0.66,6,6,0.3201,71.90,target_review_candidate,
mot_0529,529,truck,"{""car"": 1, ""truck"": 3}",30.84,30.90,0.06,4,4,0.3942,5.51,excluded,too_short_for_target_review
mot_0531,531,car,"{""car"": 21}",30.86,31.28,0.42,21,21,0.2998,0.87,excluded,too_short_for_target_review
mot_0534,534,car,"{""car"": 17}",30.88,31.24,0.36,17,17,0.2963,0.70,excluded,too_short_for_target_review
mot_0537,537,car,"{""car"": 25}",30.94,32.30,1.36,25,25,0.3334,220.75,target_review_candidate,
mot_0544,544,truck,"{""car"": 1, ""truck"": 3}",31.14,31.20,0.06,4,4,0.3131,6.15,excluded,too_short_for_target_review
mot_0545,545,car,"{""car"": 1}",31.18,31.18,0.00,1,1,0.3266,0.00,excluded,single_sample_track
mot_0547,547,car,"{""car"": 1, ""truck"": 1}",31.26,31.30,0.04,2,2,0.3071,3.71,excluded,too_short_for_target_review
mot_0551,551,truck,"{""truck"": 1}",31.36,31.36,0.00,1,1,0.3701,0.00,excluded,single_sample_track
mot_0559,559,car,"{""car"": 11}",31.52,31.86,0.34,11,11,0.3941,6.47,excluded,too_short_for_target_review
mot_0560,560,truck,"{""bus"": 1, ""car"": 2, ""truck"": 4}",31.52,31.64,0.12,7,7,0.3606,12.73,excluded,too_short_for_target_review
mot_0561,561,car,"{""car"": 1}",31.52,31.52,0.00,1,1,0.3592,0.00,excluded,single_sample_track
mot_0566,566,car,"{""car"": 397}",31.66,39.58,7.92,397,397,0.8264,525.94,target_review_candidate,
mot_0569,569,bus,"{""bus"": 1, ""truck"": 1}",31.76,31.78,0.02,2,2,0.2964,2.50,excluded,too_short_for_target_review
mot_0570,570,car,"{""car"": 62}",31.76,33.00,1.24,62,62,0.7655,137.36,target_review_candidate,
mot_0579,579,truck,"{""truck"": 1}",31.88,31.88,0.00,1,1,0.4201,0.00,excluded,single_sample_track
mot_0580,580,car,"{""car"": 405}",31.90,39.98,8.08,405,405,0.6019,2.16,target_review_candidate,
mot_0586,586,truck,"{""truck"": 1}",32.20,32.20,0.00,1,1,0.3324,0.00,excluded,single_sample_track
mot_0588,588,car,"{""car"": 48}",32.36,33.40,1.04,48,48,0.5850,56.41,target_review_candidate,
mot_0604,604,car,"{""car"": 342}",32.74,39.98,7.24,342,342,0.3344,1.95,target_review_candidate,
mot_0618,618,truck,"{""truck"": 3}",33.96,34.00,0.04,3,3,0.3255,1.90,excluded,too_short_for_target_review
mot_0621,621,car,"{""car"": 288}",34.20,39.98,5.78,288,288,0.6349,162.99,target_review_candidate,
mot_0622,622,car,"{""car"": 177}",34.22,39.40,5.18,177,177,0.4806,285.51,target_review_candidate,
mot_0628,628,car,"{""car"": 18}",34.60,34.94,0.34,18,18,0.3701,1.10,excluded,too_short_for_target_review
mot_0657,657,car,"{""car"": 1}",36.28,36.28,0.00,1,1,0.4229,0.00,excluded,single_sample_track
mot_0667,667,car,"{""car"": 1}",36.64,36.64,0.00,1,1,0.4636,0.00,excluded,single_sample_track
mot_0670,670,car,"{""car"": 77}",36.88,38.42,1.54,77,77,0.8287,153.48,target_review_candidate,
mot_0672,672,car,"{""car"": 1}",37.02,37.02,0.00,1,1,0.3856,0.00,excluded,single_sample_track
mot_0693,693,car,"{""car"": 1}",39.28,39.28,0.00,1,1,0.4516,0.00,excluded,single_sample_track
mot_0695,695,car,"{""car"": 3}",39.66,39.70,0.04,3,3,0.5036,3.72,excluded,too_short_for_target_review
